event,level,capture_efficiency,risk_duration,ghost_proximity,input_density,survival_time,timestamp
trail_close,10,4.74,1.163,7.92,1,1.623,1778337659.723
trail_close,10,9.05,1.42,8.33,3,1.5,1778337661.223
trail_close,10,1.58,0.576,3.85,1,1.815,1778337663.037
trail_close,10,3.47,0.546,3.51,2,2.033,1778337665.071
trail_close,10,0.95,0.25,3.49,0,2.71,1778337667.781
trail_close,10,1.37,1.24,3.24,3,2.534,1778337670.315
trail_close,10,1.89,1.485,9.69,2,1.735,1778337672.05
trail_close,10,4.74,1.085,8.51,1,1.582,1778337673.632
trail_close,10,2.42,0.5,6.58,0,0.582,1778337674.214
trail_close,10,1.89,0.498,5.05,0,0.829,1778337675.043
trail_close,10,4.11,0.746,8.13,0,2.154,1778337677.197
trail_close,10,3.79,0.752,7.15,0,1.167,1778337678.364
trail_close,10,5.79,1.332,6.14,3,1.515,1778337679.879
trail_close,11,6.74,1.25,13.93,1,3.221,1778337683.101
trail_close,11,0.74,0.585,1.04,2,2.847,1778337685.948
trail_close,11,1.26,0.581,7.36,1,1.278,1778337687.226
player_death,11,8.74,0.532,0.66,1,3.084,1778337690.311
trail_close,11,7.47,2.14,6.07,5,3.825,1778337694.136
trail_close,11,18.32,3.845,5.04,3,4.137,1778337698.273
trail_close,11,65.26,5.23,6.12,7,6.889,1778337705.162
trail_close,12,4.42,1.0,19.51,1,3.746,1778337708.909
trail_close,12,5.89,1.239,6.98,3,2.376,1778337711.284
trail_close,12,5.89,1.411,8.89,3,3.054,1778337714.338
